1,0,1,0,0.0
1,1,21,0,4.190476190476191
1,1,7,0,1.7142857142857142
1,1,20,0,3.55
0,12,78,30,4.82051282051282
1,1,8,0,3.625
1,1,8,1,2.5
0,40,480,106,4.435416666666667
1,1,9,2,3.7777777777777777
1,1,15,0,3.7333333333333334
0,11,71,27,6.042253521126761
1,1,8,1,4.75
0,26,193,31,4.44559585492228
1,1,21,0,4.190476190476191
1,1,7,3,4.714285714285714
0,14,105,8,3.5428571428571427
0,11,189,28,5.164021164021164
0,3,124,13,4.137096774193548
1,3,262,25,4.041984732824427
0,11,111,19,4.603603603603603
0,5,71,11,4.422535211267606
1,1,145,7,4.0344827586206895
0,6,117,17,5.085470085470085
1,1,32,0,4.5625
0,5,60,8,4.15
0,6,65,5,4.753846153846154
1,1,5,0,4.0
0,4,23,2,3.739130434782609
1,1,11,1,3.5454545454545454
0,33,252,76,4.507936507936508
0,11,70,5,3.842857142857143
1,1,26,3,3.8076923076923075
0,17,316,34,4.591772151898734
0,15,131,35,4.603053435114504
1,1,13,1,4.153846153846154
0,22,441,71,4.378684807256236
1,1,9,2,3.7777777777777777
0,9,106,20,4.311320754716981
0,18,278,44,4.392086330935252
1,1,560,31,3.8589285714285713
0,49,401,151,2.084788029925187
0,12,214,13,4.58411214953271
1,1,15,1,3.6
1,1,5,4,3.0
0,8,68,12,4.294117647058823
1,1,2,0,2.0
1,1,34,5,3.7941176470588234
0,5,92,20,4.130434782608695
1,1,34,5,3.7941176470588234
1,1,7,1,4.857142857142857
0,6,40,5,4.55
1,1,8,2,4.125
1,1,5,1,4.6
0,49,449,166,5.832962138084633
0,13,208,33,4.836538461538462
0,25,179,30,6.06145251396648
1,1,26,0,3.769230769230769
1,1,3,3,2.3333333333333335
0,3,103,21,4.728155339805825
1,3,15,0,3.933333333333333
0,9,149,12,4.2885906040268456
1,1,15,1,3.4
1,1,2,0,3.5
0,1,24,7,5.0
1,1,5,1,5.2
0,12,105,24,5.038095238095238
0,15,284,49,4.901408450704225
0,28,122,87,7.975409836065574
0,12,113,14,4.353982300884955
1,1,10,0,3.2
1,1,13,1,3.4615384615384617
0,10,48,11,5.145833333333333
1,1,2,0,1.5
0,40,327,79,4.009174311926605
1,1,38,2,3.6315789473684212
1,1,14,1,3.857142857142857
0,9,85,13,4.658823529411765
1,1,9,2,3.7777777777777777
0,28,122,87,7.975409836065574
0,28,122,87,7.975409836065574
0,12,61,5,3.8688524590163933
